Country,CAGR,Latest_Capacity,Growth_Multiple
Kuwait,123.99274234514132,111.662,15951.714285714286
"China, Hong Kong Special Administrative Region",109.74156642155685,392.76300000000003,785.5260000000001
Oman,100.14711254279511,722.0899999999999,1031.5571428571427
State of Palestine (the),99.76327464000312,193.375,16114.583333333332
Djibouti,93.26870696390964,60.429,1405.325581395349
Turks and Caicos Islands,81.41687264868065,3.52,117.33333333333334
Guam,74.01674250739225,105.072,2334.9333333333334
South Sudan,72.5287580724886,17.739,403.15909090909093
Maldives,59.99821199546547,56.657,4721.416666666666
Montserrat,59.686887653821486,1.018,4.072
United Arab Emirates (the),57.95025322133605,6061.397,601.567784835252
Botswana,56.20700886037846,10.3,515.0
Saint Lucia,54.49827043899378,4.415,441.5
Malta,53.725000338651995,229.82700000000003,2298.27
Saudi Arabia,48.22757235333166,2988.374,8538.211428571429
Yemen,45.54284971121587,263.484,278.5243128964059
Mauritania,44.88202928413456,259.784,59.04181818181817
Palau,44.69737110213505,19.618,4904.499999999999
Kiribati,43.587934844343756,4.093,227.3888888888889
Antigua and Barbuda,43.1478021385012,15.17,151.7
Cyprus,40.1669503732915,748.864,611.3175510204081
Barbados,38.40015758102015,70.502,1762.55
Qatar,36.517025272051654,824.1,41.90267961559973
Bahrain,34.76664543529271,59.297999999999995,87.84888888888888
Guinea-Bissau,34.48897471655749,1.98,10.702702702702704
Israel,34.325444264624025,5859.25,886.4220877458396
Anguilla,33.931012825808104,1.542,24.870967741935484
Somalia,32.70673619566531,49.458999999999996,22.481363636363632
Tuvalu,32.42002246275908,3.8289999999999997,638.1666666666666
Mayotte,31.529704072032395,31.234,61.00390625
Nauru,29.315137145318836,3.163,79.07499999999999
United States Virgin Islands,28.983584918625493,10.093,21.203781512605044
Australia,28.81153396174845,50366.94,338.0331543624161
"Bonaire, Sint Eustatius and Saba",28.733514338645307,18.775,56.893939393939384
Tonga,27.94458324691005,16.496000000000002,289.40350877192986
Gambia (the),27.396830008124674,2.944,61.33333333333333
Cayman Islands,27.275862128183668,14.9,5.410312273057372
Estonia,26.120406654633754,1456.0,208.0
Cambodia,25.509531490249703,1877.7060000000001,186.02199326332476
Jordan,25.40552625841128,2628.125,182.50868055555554
Niger (the),24.889123757296304,82.992,165.984
Grenada,24.230071663760878,3.86,25.906040268456373
Eritrea,23.9408144506722,25.61,31.00484261501211
Hungary,22.849271190687514,6819.0,113.65
Niue,22.48633447328119,0.941,17.10909090909091
Martinique,22.07953327343981,148.485,65.99333333333334
Cook Islands (the),22.04525083778379,5.57,97.71929824561404
Timor-Leste,20.622806102026136,0.14100000000000001,35.25
Benin,20.399927877789036,35.757999999999996,71.51599999999999
Belgium,19.781719940757924,14770.85,63.5305376344086
Libya,18.858152281936704,6.333,31.665
Poland,18.841345344636864,27558.604000000003,52.99731538461539
Belarus,18.83481902564723,491.2,44.541167936162495
Senegal,18.367833884390848,438.812,8.954433221099887
Marshall Islands (the),18.26057854129719,1.8940000000000001,47.35
Netherlands (Kingdom of the),17.575902846382952,32624.996,41.430618151248126
Cabo Verde,16.60126074147921,52.843,25.163333333333334
South Georgia and the South Sandwich Islands,16.44409521133592,0.199,33.166666666666664
Sierra Leone,15.727681820786099,115.111,28.77775
Lithuania,15.607304156432411,2894.0,28.097087378640776
British Virgin Islands,15.363416966963461,3.327,6.410404624277456
Bahamas (the),14.72624794315076,16.560000000000002,17.902702702702705
Equatorial Guinea,14.541141681845659,127.146,22.704642857142858
Saint Barthélemy,14.520417099031313,0.062,2.5833333333333335
United Kingdom of Great Britain and Northern Ireland (the),14.234876519093586,55826.728,21.348653154875716
Seychelles,14.22866107236711,23.744999999999997,3.7822554953806944
Solomon Islands,14.187180377969245,7.02,21.14457831325301
Liberia,13.914319296887179,96.06,20.012500000000003
China,13.798280464725178,1453701.25,19.548844602687254
Mongolia,13.768829280974737,291.978,19.43281198003328
Republic of Korea (the),13.613905221325794,30519.208,18.833204566491823
Angola,13.21357038610067,4090.739,17.364616540523564
Vanuatu,12.898548107032237,9.772,16.28666666666667
Ireland,12.75749514510418,5815.7,15.82503401360544
Lao People's Democratic Republic (the),12.380211554147458,9957.416,14.65097212944462
Germany,12.339592654554998,158845.5,14.529659272810427
Viet Nam,12.180137830081694,47797.583,14.062654057104323
Ethiopia,12.122903272963548,5536.490000000001,13.898556545751227
Luxembourg,12.060965258208366,727.3209999999999,13.723037735849054
Falkland Islands (Malvinas),11.797558599526713,3.38,13.0
Brunei Darussalam,11.695306043952058,5.053999999999999,4.211666666666666
Puerto Rico,11.325755880446199,1157.095,11.795056065239553
Tunisia,11.051156369928572,818.9200000000001,11.14373970906419
Mali,10.885707504976594,592.998,10.768076992918106
Nepal,10.781825540145595,2799.028,10.538429680499394
South Africa,10.52185095628233,12464.068000000001,9.984065953431445
American Samoa,10.310206438512859,7.109999999999999,2.9428807947019866
Chinese Taipei,10.189543725890049,17622.120000000003,9.315986466483402
Myanmar,10.034302229757653,3509.158,9.018746016407261
Kosovo,9.8629459415694,278.438,8.7011875
Singapore,9.22092343252321,1162.631,7.603865271419228
India,8.852479553023219,175874.316,7.035281910992807
Bulgaria,8.796936392164323,6028.405000000001,6.953177623990774
Bhutan,8.680754845917015,2336.205,6.7843908813706975
Burkina Faso,8.567182520698946,211.942,6.6231875
Republic of Moldova (the),8.546269669464301,422.01,6.59390625
Guinea,8.465370781305094,831.096,6.481796911558259
Iran (Islamic Republic of),8.327700407018156,12653.338,6.2951930348258704
Uganda,8.26077461719752,1613.6499999999999,6.2063461538461535
Comoros (the),7.998930391580461,3.07,5.032786885245901
Czechia,7.940725621416189,5531.094,5.797792452830189
