Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
,,Go to:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electricity generation,,,,,,,,,,,,Heat generation,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year,2023,,,,,,,,,,,Year,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN Short Name EN,Afghanistan,,,,,,,,,,,UN Short Name EN,Afghanistan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DataType,ELECGEN,,,,,,,,,,,DataType,HEATGEN
,,,Primary energy carriers,,,,,,,,,,Secondary energy carriers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Terajoules (TJ),,,Solar Energy,,,,Bioenergy,,,,,,,,,,,,,,,,,ID,ISO3,Year,ID,Flow,Product,Unit,Sum of Values,,,,IRENA code,Sum of Values,,,Indicator,,,,Level 1,,,,IRENA code,Sum of Values
,,AFG | 2023,Hydro & Marine,Wind Energy,Solar PV,Solar Thermal,Geo-thermal,Other RE,Liquid biofuels,Biogas,Municipal waste,Solid biofuels,Biomass pellets/briq,Charcoal,RE Electricity,RE Heat,Total Renewables,Efficiency / Losses,,,,,,,,AFG251212023111,AFG,2023,111,Production,25121,MT,1551743.25,,,,10000,,,,Description,ID,IRENA code,Technology,Total Non-Renewable,Total Renewable,Grand Total,,10000,
,,Production,2782.728,0.4428,421.7436000000001,,,,0,0.472,,23462.35794,,,,,26667.74434,,,,,111.0,,,,AFG251212023112,AFG,2023,112,Imports,25121,MT,2.25,,,,11000,,,,Electricity Generation (GWh),211,11200,Oil,165.628,,165.628,,11000,
,,Imports,,,,,,,0,0,,0.03402,,1.6016,16913.123108357788,,16914.75872835779,,,,,112.0,,,,AFG251212023119,AFG,2023,119,Domestic supply,25121,MT,1551745.5,,,,11100,,,,Electricity Generation (GWh),211,21100,Renewable hydropower,,710.048,710.048,,11100,
,,Exports,,,,,,,0,0,,0,,-0.4312,,,-0.4312,,,,,113.0,,,,AFG251212023241,AFG,2023,241,Charcoal production,25121,MT,726529.5,,,,11110,,,,Electricity Generation (GWh),211,24110,On-grid Solar photovoltaic,,77.98,77.98,,11110,
,,Stock,,,,,,,0,0,,0,,,,,0,,,,,114.0,,,,AFG251212023400,AFG,2023,400,Total final consumption,25121,MT,825216,,,,11120,,,,Electricity Generation (GWh),220,11200,Oil,17.405,,17.405,,11120,
,,Total Energy Supply (TES),2782.728,0.4428,421.7436000000001,,,,,0.472,,23462.39196,,1.1703999999999999,16913.123108357788,,43582.071868357794,,,,,119.0,,,,AFG251212023460,AFG,2023,460,Residential,25121,MT,825216,,,,11200,183.033,,,Electricity Generation (GWh),220,21100,Renewable hydropower,,62.932,62.932,,11200,
,,Differences,,,,,,,0,0,,0,,,,,0,,,,,122.0,,,,AFG251212023499,AFG,2023,499,Net Calorific Value,25121,MJT,15120,,,,11210,,,,Electricity Generation (GWh),220,23100,Onshore wind energy,,0.123,0.123,,11210,
,,Transformation and losses,-2782.728,-0.4428,-421.7436000000001,,,,,,,-10985.12604,,4972.6908,-1660.5596173795084,,-10877.909257379506,0.23341238501928416,,,,,,,,AFG251602023111,AFG,2023,111,Production,25160,MT,161451,,,,11220,,,,Electricity Generation (GWh),220,24120,Off-grid Solar photovoltaic,,39.171,39.171,,11220,
