Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Go to:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World total,,,,,15555758.58794624,15665943.05494624,16273848.889946243,16859228.138946243,17622868.385610238,18383776.80101624,19093941.75792825,19912295.504997246,20328954.61761025,20233211.655506235,21581716.496799108,22308967.450923063,22858721.638042554,23503528.780241147,23852178.810026675,24265117.90685442,24910191.925726492,25723194.967212968,26672579.6480464,27080318.494672,27024524.56067201,28405379.04105534,29152003.98547572,29867182.28686405,3472286.534799998,3562282.390800001,3691841.7157999994,3843864.3158,3968619.8387999996,4112825.8708000006,4293194.609799998,4471749.345799999,4638712.040800001,4842024.386800002,5078094.079000001,5313071.556000002,5540265.710800002,5772291.8028000025,6013014.126800005,6274053.883800007,6548405.1148000015,6808596.943399999,7118973.956821001,7355792.183821003,7691270.126821002,8019940.794821002,8397020.625820998,8970793.044021,9609800.069020994,12177439.683000002,12345283.852999998,12393274.416000001,12702314.827,12873388.32,12909081.511,13425867.409,13242138.298999999,13000502.896000002,12710495.089999998,13678471.944,14044942.514,14374609.653999997,13839726.108,13639370.080999997,13366268.333999999,13893315.545,15536281.072000002,15234475.855999988,14829580.61999999,14750815.852000007,15128010.36300001,14703491.272,14833643.318,2777.6822217397876,3968.9244227772842,5429.49463628561,7914.728998657956,6089.341487094285,6761.535983900985,6895.132087133172,11534.270979763733,15463.182241514689,41655.763978256735,32030.409424238398,36280.29267355535,40223.95365178973,31218.197032309406,43552.13390450907,26362.547226821633,49938.53429626582,32681.05442328443,31636.4843960039,23311.617343444083,21472.018947654695,23811.086938232605,25931.325223010794,30487.22675513668,1513.5,1719.97,1275.45,2875.99,1710.38,2766.63,3227.71,4388.14,3976.43,4682.84,10411.25,12495.4,9911.07,13113.52,17944.29,12096.92,27340.85,22112.11,17159.5,12101.26,11562.67,11827.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World Total Non-Renewable,,,,,12704808.17794624,12870083.61894624,13379331.095946243,13938478.151946241,14488573.41361024,15088935.353016242,15645229.807928247,16358634.087997247,16552869.725610249,16323690.158506237,17381041.76979911,17890091.91892306,18096394.156042553,18467764.263241142,18544826.173026673,18748703.60385442,19039061.987726495,19485277.422212966,20038745.931046396,20083313.469672002,19559638.129672006,20521950.52805534,20694734.61047572,20938689.59086405,2707904.798799998,2776754.4428000012,2885420.1907999995,3007185.6248000003,3099083.8378,3204066.491800001,3342902.7307999986,3472008.8328,3575828.2328000013,3698003.5548000014,3851182.4960000003,3981455.0280000013,4094333.5488000014,4202423.622800002,4316667.196800005,4424980.541800006,4531017.485800002,4624621.333400002,4764924.123821002,4817572.816821004,4883173.070821002,4947365.946821002,5021924.821821,5109891.772021,5167044.974020995,11878937.633000001,12035347.803999998,12065563.712000001,12342737.022,12504120.859000001,12511023.871,12989044.14,12772666.177,12509205.494,12191751.850999998,13089297.451,13444058.434,13704106.444999997,13137617.495,12915668.189999996,12610842.665,13081432.37,14693046.606000002,14368568.587999988,13921269.63099999,13841691.492000008,14148992.21900001,13772744.7,13914514.303,1330.6040813147376,2358.890691736592,2704.3333410099585,2716.424116187204,2727.543342854346,3160.0776170736053,2541.9805408493667,4255.897299569146,4831.980880431675,23875.407914364958,13114.411820299654,14438.004834415055,13243.035354559686,11154.690425350402,16083.057819045196,6952.424457814617,14824.722027296799,2035.9528533456223,7176.80239424842,6245.562904088753,4251.24431508876,3416.0568172983276,1751.7326077509863,4094.5769571228097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World Total Renewable,,,,,2850950.4100000006,2795859.4359999998,2894517.7939999993,2920749.9870000007,3134294.971999999,3294841.448,3448711.9499999997,3553661.417,3776084.8920000005,3909521.4969999986,4200674.726999998,4418875.532000003,4762327.482000002,5035764.517000003,5307352.637000001,5516414.302999999,5871129.937999996,6237917.545000003,6633833.717000004,6997005.024999998,7464886.431000006,7883428.512999999,8457269.375,8928492.695999997,764381.736,785527.9479999997,806421.5249999997,836678.6909999998,869536.0009999996,908759.3789999995,950291.8789999994,999740.5129999995,1062883.8079999995,1144020.8320000006,1226911.5830000006,1331616.528,1445932.162000001,1569868.1800000006,1696346.9300000004,1849073.3420000009,2017387.629,2183975.609999998,2354049.8329999987,2538219.3669999987,2808097.0559999994,3072574.847999999,3375095.803999997,3860901.2719999994,4442755.095,298502.05000000005,309936.049,327710.70399999997,359577.80500000005,369267.461,398057.6399999999,436823.269,469472.122,491297.40200000006,518743.23900000006,589174.4929999999,600884.08,670503.2089999999,702108.613,723701.8910000002,755425.6689999999,811883.1750000002,843234.4660000001,865907.2679999997,908310.9889999998,909124.3600000001,979018.1439999997,930746.5719999998,919129.0149999999,1447.0781404250497,1610.0337310406921,2725.1612952756514,5198.304882470752,3361.7981442399396,3601.4583668273795,4353.151546283805,7278.373680194588,10631.201361083013,17780.356063891777,18915.997603938744,21842.287839140296,26980.91829723004,20063.506606959003,27469.076085463872,19410.122769007015,35113.81226896902,30645.101569938808,24459.68200175548,17066.05443935533,17220.774632565935,20395.03012093428,24179.592615259808,26392.64979801387,1513.5,1719.97,1275.45,2875.99,1710.38,2766.63,3227.71,4388.14,3976.43,4682.84,10411.25,12495.4,9911.07,13113.52,17944.29,12096.92,27340.85,22112.11,17159.5,12101.26,11562.67,11827.17,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,No totals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Share of RE (%),,,,0.1832729914058405,0.17846735598322358,0.17786313573233387,0.17324339898176128,0.17785384895453646,0.1792254923274451,0.18061812451941803,0.17846568298005436,0.1857490934988321,0.19322298227113477,0.19464043685417798,0.1980762014970427,0.20833743712396907,0.2142556789699362,0.2225101815339806,0.22733927459885617,0.23569187887053056,0.24250166252485014,0.24871361542586642,0.2583797168551265,0.2762263740936791,0.2775329454891551,0.2901093653531891,0.2989399070272142,0.2201378625695785,0.22051254275312784,0.21843339641262305,0.21766603143635338,0.21910287110365378,0.2209574165179119,0.22134842823821338,0.22356810180762607,0.22913338846027886,0.23626911816445048,0.2416086752062713,0.25063026423881263,0.2609860677225915,0.27196618494555225,0.28211258018493285,0.2947174787220782,0.308073125231748,0.32076735165195275,0.3306726288476558,0.34506403981651207,0.3651018635020504,0.38311689906540963,0.401939682465649,0.43038572543742676,0.46231503913614813,0.02451271020596522,0.025105623547463686,0.026442624684959604,0.0283080532877112,0.02868455854985038,0.0308354734347916,0.032535943912806446,0.03545289373963516,0.03779064594117837,0.040812197741071636,0.04307312215955808,0.042782950474951294,0.046644968116641705,0.05073139508116052,0.053059773780032266,0.05651732032630312,0.05843696361536861,0.054275180919564146,0.056838664893020814,0.061249944437066654,0.06163214083353467,0.06471559183978853,0.06330105923702825,0.061962458938504716,0.520966051875682,0.40565996213000677,0.5019180380183543,0.6567887394947055,0.5520790961329587,0.53263908901799,0.6313369332557253,0.6310215611341288,0.6875170450064901,0.42684023447925906,0.5905637156677874,0.6020427683887211,0.6707674370052767,0.6426862700044526,0.6307171112600736,0.736276453181993,0.7031406260474624,0.9377023511244161,0.7731479166770203,0.732083672613767,0.8020100333623678,0.8565350323502752,0.9324472392873873,0.8656953290632469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
