Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,Indicator/dataset,Version,Latest data
,,Electricity Generation (GWh),July,n-2 (prelim. n-1)
,,Electricity Installed Capacity (GWh),April | July,n-1 | n-1 (revised)
,,Heat Generation (TJ),July,n-2 (prelim. n-1)
,,"Off-grid Biogas for Cooking (1,000 inhabitants)",April,n-1
,,"Off-grid Biogas Production (1,000 m3)",April,n-1
,,"Off-grid Electricity Access (1,000 inhabitants)",April,n-1
,,Public Flows (constant USD M),July,n-2 (base: n-3)
,,SDG 7a1 Int'l Public Flows (constant USD M),April,n-2 (base: n-3)
,,SDG 7b1 RE Capacity per Capita (W/inhabitant),April,n-2
,,Renewable Energy balances,July,n-2
